g / n,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0,0,0,0,0,0,0,0,0,0,0,k=11: 1,k=12: 55,?,?,?,?,?,?,?,?
2,0,0,0,0,0,0,0,0,0,0,k=13: 9,?,?,?,?,?,?,?,?,?,?
3,0,0,0,0,0,0,0,0,k=14: 1,"k=14: 1
k=15: 56",?,?,?,?,?,?,?,?,?,?,?
4,0,0,0,0,0,0,0,k=16: 6,?,?,?,?,?,?,?,?,?,?,?,?,?
5,0,0,0,0,0,k=17: 1,"k=17: 1
k=18: 20",?,?,?,?,?,?,?,?,?,?,?,?,?,?
6,0,0,0,0,k=19: 3,"k=19: 4
k=20: 19",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
7,0,0,k=20: 1,"k=20: 1
k=21: 2",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
8,0,0,k=22: 1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
9,k=22: 1,k=22: 1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
10,k=27: 2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
11,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
12,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
13,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
14,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
15,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
16,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
17,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
18,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
19,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
20,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
